Train | Epoch: 1 | Loss: 1.598
Train | Epoch: 2 | Loss: 1.054
Train | Epoch: 3 | Loss: 1.137
Train | Epoch: 4 | Loss: 1.116
Train | Epoch: 5 | Loss: 1.095
Train | Epoch: 6 | Loss: 1.084
Train | Epoch: 7 | Loss: 1.077
Train | Epoch: 8 | Loss: 1.075
Train | Epoch: 9 | Loss: 1.072
Train | Epoch: 10 | Loss: 1.072
Train | Epoch: 11 | Loss: 1.069
Train | Epoch: 12 | Loss: 1.070
Train | Epoch: 13 | Loss: 1.067
Train | Epoch: 14 | Loss: 1.067
Train | Epoch: 15 | Loss: 1.065
Train | Epoch: 16 | Loss: 1.067
Train | Epoch: 17 | Loss: 1.062
Train | Epoch: 18 | Loss: 1.064
Train | Epoch: 19 | Loss: 1.060
Train | Epoch: 20 | Loss: 1.062
Train | Epoch: 21 | Loss: 1.060
Train | Epoch: 22 | Loss: 1.060
Train | Epoch: 23 | Loss: 1.061
Train | Epoch: 24 | Loss: 1.059
Train | Epoch: 25 | Loss: 1.057
Train | Epoch: 26 | Loss: 1.060
Train | Epoch: 27 | Loss: 1.060
Train | Epoch: 28 | Loss: 1.058
Train | Epoch: 29 | Loss: 1.060
Train | Epoch: 30 | Loss: 1.058
PR | Epoch 30 | 0.96200 0.00018 0.95645 0.08856 0.95652 0.17713 0.95505 0.26529 0.93766 0.34728 0.94107 0.43568 0.94414 0.52452 0.94648 0.61346 0.94549 0.70037 0.94522 0.78769 0.94642 0.87632 0.92472 0.94185 0.85182 0.94646 0.78744 0.94785 0.73236 0.94936 0.68458 0.95081 0.64273 0.95219 0.60579 0.95356 0.57298 0.95496 0.54367 0.95645 0.51727 0.95791 
Test | Epoch 30 | MAP: 0.940 | Best MAP: 0.940
Train | Epoch: 31 | Loss: 1.058
Train | Epoch: 32 | Loss: 1.057
Train | Epoch: 33 | Loss: 1.057
Train | Epoch: 34 | Loss: 1.056
Train | Epoch: 35 | Loss: 1.056
Train | Epoch: 36 | Loss: 1.056
Train | Epoch: 37 | Loss: 1.057
Train | Epoch: 38 | Loss: 1.057
Train | Epoch: 39 | Loss: 1.055
Train | Epoch: 40 | Loss: 1.056
Train | Epoch: 41 | Loss: 1.057
Train | Epoch: 42 | Loss: 1.057
Train | Epoch: 43 | Loss: 1.056
Train | Epoch: 44 | Loss: 1.055
Train | Epoch: 45 | Loss: 1.055
Train | Epoch: 46 | Loss: 1.055
Train | Epoch: 47 | Loss: 1.055
Train | Epoch: 48 | Loss: 1.055
